CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031408111422004VY0F;05/01/2021;17;0,185;R
ES0031408111422004VY0F;05/01/2021;18;0,162;R
ES0031408111422004VY0F;05/01/2021;19;0,126;R
ES0031408111422004VY0F;05/01/2021;20;0,116;R
ES0031408111422004VY0F;05/01/2021;21;0,114;R
ES0031408111422004VY0F;05/01/2021;22;0,114;R
ES0031408111422004VY0F;05/01/2021;23;0,114;R
ES0031408111422004VY0F;06/01/2021;0;0,113;R
ES0031408111422004VY0F;06/01/2021;1;0,112;R
ES0031408111422004VY0F;06/01/2021;2;0,111;R
ES0031408111422004VY0F;06/01/2021;3;0,11;R
ES0031408111422004VY0F;06/01/2021;4;0,11;R
ES0031408111422004VY0F;06/01/2021;5;0,16;R
ES0031408111422004VY0F;06/01/2021;6;0,167;R
ES0031408111422004VY0F;06/01/2021;7;0,129;R
ES0031408111422004VY0F;06/01/2021;8;0,119;R
ES0031408111422004VY0F;06/01/2021;9;0,113;R
ES0031408111422004VY0F;06/01/2021;10;0,113;R
ES0031408111422004VY0F;06/01/2021;11;0,112;R
ES0031408111422004VY0F;06/01/2021;12;0,112;R
ES0031408111422004VY0F;06/01/2021;13;0,112;R
ES0031408111422004VY0F;06/01/2021;14;0,111;R
ES0031408111422004VY0F;06/01/2021;15;0,109;R
ES0031408111422004VY0F;06/01/2021;16;0,109;R
ES0031408111422004VY0F;06/01/2021;17;0,109;R
ES0031408111422004VY0F;06/01/2021;18;0,159;R
ES0031408111422004VY0F;06/01/2021;19;0,166;R
ES0031408111422004VY0F;06/01/2021;20;0,129;R
ES0031408111422004VY0F;06/01/2021;21;0,195;R
ES0031408111422004VY0F;06/01/2021;22;0,547;R
ES0031408111422004VY0F;06/01/2021;23;0,318;R
ES0031408111422004VY0F;07/01/2021;0;0,22;R
ES0031408111422004VY0F;07/01/2021;1;0,154;R
ES0031408111422004VY0F;07/01/2021;2;0,137;R
ES0031408111422004VY0F;07/01/2021;3;0,137;R
ES0031408111422004VY0F;07/01/2021;4;0,134;R
ES0031408111422004VY0F;07/01/2021;5;0,19;R
ES0031408111422004VY0F;07/01/2021;6;0,171;R
ES0031408111422004VY0F;07/01/2021;7;0,124;R
ES0031408111422004VY0F;07/01/2021;8;0,127;R
ES0031408111422004VY0F;07/01/2021;9;0,295;R
ES0031408111422004VY0F;07/01/2021;10;0,39;R
ES0031408111422004VY0F;07/01/2021;11;0,318;R
ES0031408111422004VY0F;07/01/2021;12;0,141;R
ES0031408111422004VY0F;07/01/2021;13;0,122;R
ES0031408111422004VY0F;07/01/2021;14;0,122;R
ES0031408111422004VY0F;07/01/2021;15;0,12;R
ES0031408111422004VY0F;07/01/2021;16;0,186;R
ES0031408111422004VY0F;07/01/2021;17;0,176;R
ES0031408111422004VY0F;07/01/2021;18;0,127;R
ES0031408111422004VY0F;07/01/2021;19;0,133;R
ES0031408111422004VY0F;07/01/2021;20;0,13;R
ES0031408111422004VY0F;07/01/2021;21;0,243;R
ES0031408111422004VY0F;07/01/2021;22;0,171;R
ES0031408111422004VY0F;07/01/2021;23;0,165;R
ES0031408111422004VY0F;08/01/2021;0;0,186;R
ES0031408111422004VY0F;08/01/2021;1;0,16;R
ES0031408111422004VY0F;08/01/2021;2;0,159;R
ES0031408111422004VY0F;08/01/2021;3;0,174;R
ES0031408111422004VY0F;08/01/2021;4;0,236;R
ES0031408111422004VY0F;08/01/2021;5;0,15;R
ES0031408111422004VY0F;08/01/2021;6;0,128;R
ES0031408111422004VY0F;08/01/2021;7;0,125;R
ES0031408111422004VY0F;08/01/2021;8;0,247;R
ES0031408111422004VY0F;08/01/2021;9;0,175;R
ES0031408111422004VY0F;08/01/2021;10;0,257;R
ES0031408111422004VY0F;08/01/2021;11;0,311;R
ES0031408111422004VY0F;08/01/2021;12;0,225;R
ES0031408111422004VY0F;08/01/2021;13;0,283;R
ES0031408111422004VY0F;08/01/2021;14;0,64;R
ES0031408111422004VY0F;08/01/2021;15;0,879;R
ES0031408111422004VY0F;08/01/2021;16;1,014;R
ES0031408111422004VY0F;08/01/2021;17;1,539;R
ES0031408111422004VY0F;08/01/2021;18;1,032;R
ES0031408111422004VY0F;08/01/2021;19;0,287;R
ES0031408111422004VY0F;08/01/2021;20;0,242;R
ES0031408111422004VY0F;08/01/2021;21;0,497;R
ES0031408111422004VY0F;08/01/2021;22;0,474;R
ES0031408111422004VY0F;08/01/2021;23;0,465;R
ES0031408111422004VY0F;09/01/2021;0;0,448;R
ES0031408111422004VY0F;09/01/2021;1;0,446;R
ES0031408111422004VY0F;09/01/2021;2;0,397;R
ES0031408111422004VY0F;09/01/2021;3;0,179;R
ES0031408111422004VY0F;09/01/2021;4;0,149;R
ES0031408111422004VY0F;09/01/2021;5;0,137;R
ES0031408111422004VY0F;09/01/2021;6;0,133;R
ES0031408111422004VY0F;09/01/2021;7;0,122;R
ES0031408111422004VY0F;09/01/2021;8;0,151;R
ES0031408111422004VY0F;09/01/2021;9;0,182;R
ES0031408111422004VY0F;09/01/2021;10;0,328;R
ES0031408111422004VY0F;09/01/2021;11;0,277;R
ES0031408111422004VY0F;09/01/2021;12;0,242;R
ES0031408111422004VY0F;09/01/2021;13;0,392;R
ES0031408111422004VY0F;09/01/2021;14;0,349;R
ES0031408111422004VY0F;09/01/2021;15;0,288;R
ES0031408111422004VY0F;09/01/2021;16;0,171;R
ES0031408111422004VY0F;09/01/2021;17;0,183;R
ES0031408111422004VY0F;09/01/2021;18;0,26;R
ES0031408111422004VY0F;09/01/2021;19;0,35;R
ES0031408111422004VY0F;09/01/2021;20;0,366;R
ES0031408111422004VY0F;09/01/2021;21;0,463;R
ES0031408111422004VY0F;09/01/2021;22;0,528;R
ES0031408111422004VY0F;09/01/2021;23;0,354;R
ES0031408111422004VY0F;10/01/2021;0;0,27;R
ES0031408111422004VY0F;10/01/2021;1;0,2;R
ES0031408111422004VY0F;10/01/2021;2;0,174;R
ES0031408111422004VY0F;10/01/2021;3;0,173;R
ES0031408111422004VY0F;10/01/2021;4;0,217;R
ES0031408111422004VY0F;10/01/2021;5;0,218;R
ES0031408111422004VY0F;10/01/2021;6;0,183;R
ES0031408111422004VY0F;10/01/2021;7;0,151;R
ES0031408111422004VY0F;10/01/2021;8;0,143;R
ES0031408111422004VY0F;10/01/2021;9;0,209;R
ES0031408111422004VY0F;10/01/2021;10;0,33;R
ES0031408111422004VY0F;10/01/2021;11;0,363;R
ES0031408111422004VY0F;10/01/2021;12;0,946;R
ES0031408111422004VY0F;10/01/2021;13;0,566;R
ES0031408111422004VY0F;10/01/2021;14;0,329;R
ES0031408111422004VY0F;10/01/2021;15;0,472;R
ES0031408111422004VY0F;10/01/2021;16;0,353;R
ES0031408111422004VY0F;10/01/2021;17;0,255;R
ES0031408111422004VY0F;10/01/2021;18;0,275;R
ES0031408111422004VY0F;10/01/2021;19;0,311;R
ES0031408111422004VY0F;10/01/2021;20;0,382;R
ES0031408111422004VY0F;10/01/2021;21;0,328;R
ES0031408111422004VY0F;10/01/2021;22;0,211;R
ES0031408111422004VY0F;10/01/2021;23;0,202;R
ES0031408111422004VY0F;11/01/2021;0;0,224;R
ES0031408111422004VY0F;11/01/2021;1;0,184;R
ES0031408111422004VY0F;11/01/2021;2;0,148;R
ES0031408111422004VY0F;11/01/2021;3;0,148;R
ES0031408111422004VY0F;11/01/2021;4;0,135;R
ES0031408111422004VY0F;11/01/2021;5;0,132;R
ES0031408111422004VY0F;11/01/2021;6;0,125;R
ES0031408111422004VY0F;11/01/2021;7;0,147;R
ES0031408111422004VY0F;11/01/2021;8;0,295;R
ES0031408111422004VY0F;11/01/2021;9;0,37;R
ES0031408111422004VY0F;11/01/2021;10;0,643;R
ES0031408111422004VY0F;11/01/2021;11;0,338;R
ES0031408111422004VY0F;11/01/2021;12;0,306;R
ES0031408111422004VY0F;11/01/2021;13;0,289;R
ES0031408111422004VY0F;11/01/2021;14;0,344;R
ES0031408111422004VY0F;11/01/2021;15;1,167;R
ES0031408111422004VY0F;11/01/2021;16;1,015;R
ES0031408111422004VY0F;11/01/2021;17;0,869;R
ES0031408111422004VY0F;11/01/2021;18;0,328;R
ES0031408111422004VY0F;11/01/2021;19;0,321;R
ES0031408111422004VY0F;11/01/2021;20;0,956;R
ES0031408111422004VY0F;11/01/2021;21;0,498;R
ES0031408111422004VY0F;11/01/2021;22;0,29;R
ES0031408111422004VY0F;11/01/2021;23;0,203;R
ES0031408111422004VY0F;12/01/2021;0;0,187;R
ES0031408111422004VY0F;12/01/2021;1;0,154;R
ES0031408111422004VY0F;12/01/2021;2;0,133;R
ES0031408111422004VY0F;12/01/2021;3;0,188;R
ES0031408111422004VY0F;12/01/2021;4;0,18;R
ES0031408111422004VY0F;12/01/2021;5;0,151;R
ES0031408111422004VY0F;12/01/2021;6;0,15;R
ES0031408111422004VY0F;12/01/2021;7;0,127;R
ES0031408111422004VY0F;12/01/2021;8;0,274;R
ES0031408111422004VY0F;12/01/2021;9;0,388;R
ES0031408111422004VY0F;12/01/2021;10;0,26;R
ES0031408111422004VY0F;12/01/2021;11;0,369;R
ES0031408111422004VY0F;12/01/2021;12;0,281;R
ES0031408111422004VY0F;12/01/2021;13;0,313;R
ES0031408111422004VY0F;12/01/2021;14;0,39;R
ES0031408111422004VY0F;12/01/2021;15;0,337;R
ES0031408111422004VY0F;12/01/2021;16;0,314;R
ES0031408111422004VY0F;12/01/2021;17;0,256;R
ES0031408111422004VY0F;12/01/2021;18;0,25;R
ES0031408111422004VY0F;12/01/2021;19;0,866;R
ES0031408111422004VY0F;12/01/2021;20;1,153;R
ES0031408111422004VY0F;12/01/2021;21;0,485;R
ES0031408111422004VY0F;12/01/2021;22;0,325;R
ES0031408111422004VY0F;12/01/2021;23;0,256;R
ES0031408111422004VY0F;13/01/2021;0;0,22;R
ES0031408111422004VY0F;13/01/2021;1;0,177;R
ES0031408111422004VY0F;13/01/2021;2;0,177;R
ES0031408111422004VY0F;13/01/2021;3;0,156;R
ES0031408111422004VY0F;13/01/2021;4;0,179;R
ES0031408111422004VY0F;13/01/2021;5;0,155;R
ES0031408111422004VY0F;13/01/2021;6;0,168;R
ES0031408111422004VY0F;13/01/2021;7;0,18;R
ES0031408111422004VY0F;13/01/2021;8;0,301;R
ES0031408111422004VY0F;13/01/2021;9;0,468;R
ES0031408111422004VY0F;13/01/2021;10;0,24;R
ES0031408111422004VY0F;13/01/2021;11;0,337;R
ES0031408111422004VY0F;13/01/2021;12;0,274;R
ES0031408111422004VY0F;13/01/2021;13;0,297;R
ES0031408111422004VY0F;13/01/2021;14;0,396;R
ES0031408111422004VY0F;13/01/2021;15;0,478;R
ES0031408111422004VY0F;13/01/2021;16;1,59;R
ES0031408111422004VY0F;13/01/2021;17;0,415;R
ES0031408111422004VY0F;13/01/2021;18;0,327;R
ES0031408111422004VY0F;13/01/2021;19;0,375;R
ES0031408111422004VY0F;13/01/2021;20;0,405;R
ES0031408111422004VY0F;13/01/2021;21;0,443;R
ES0031408111422004VY0F;13/01/2021;22;0,291;R
ES0031408111422004VY0F;13/01/2021;23;0,238;R
ES0031408111422004VY0F;14/01/2021;0;0,207;R
ES0031408111422004VY0F;14/01/2021;1;0,192;R
ES0031408111422004VY0F;14/01/2021;2;0,172;R
ES0031408111422004VY0F;14/01/2021;3;0,158;R
ES0031408111422004VY0F;14/01/2021;4;0,175;R
ES0031408111422004VY0F;14/01/2021;5;0,144;R
ES0031408111422004VY0F;14/01/2021;6;0,126;R
ES0031408111422004VY0F;14/01/2021;7;0,127;R
ES0031408111422004VY0F;14/01/2021;8;0,238;R
ES0031408111422004VY0F;14/01/2021;9;0,393;R
ES0031408111422004VY0F;14/01/2021;10;0,404;R
ES0031408111422004VY0F;14/01/2021;11;0,344;R
ES0031408111422004VY0F;14/01/2021;12;0,332;R
ES0031408111422004VY0F;14/01/2021;13;0,34;R
